ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2025-03-24 17:00:00+00:00,17,2025,3266,9.102217907094884,9.103307314924912,9.108574204518197,XAGUSD
2025-04-02 05:00:00+00:00,5,2025,2808,8.883098424730884,9.055115923559654,9.478953760477644,XAGUSD
2025-04-02 09:00:00+00:00,9,2025,3056,8.817823761096095,8.81921873402595,8.829242450998038,XAGUSD
2025-04-02 13:00:00+00:00,13,2025,11733,8.874951927344064,8.88227822894741,8.897588753448153,XAGUSD
2025-04-02 17:00:00+00:00,17,2025,6054,8.880731772298374,8.956842382108356,9.180968740281887,XAGUSD
2025-04-11 01:00:00+00:00,1,2025,7533,12.218256647696299,12.458105388211465,12.829806214224238,XAGUSD
2025-04-11 05:00:00+00:00,5,2025,4701,10.55442726240585,10.598948801802953,10.857763300759698,XAGUSD
2025-04-11 09:00:00+00:00,9,2025,8529,9.844238738666837,9.95466692193124,10.530178534391005,XAGUSD
2025-04-11 13:00:00+00:00,13,2025,16217,11.0478054323638,10.93194102375544,11.990407673860993,XAGUSD
2025-04-11 17:00:00+00:00,17,2025,10654,10.590910506805884,10.531589693355812,11.846125070142715,XAGUSD
2025-04-21 01:00:00+00:00,1,2025,4860,10.108281132738316,10.260659461144064,11.031101578060783,XAGUSD
2025-04-21 05:00:00+00:00,5,2025,3102,10.047650219983026,10.004893065745655,10.068189098897458,XAGUSD
2025-04-21 09:00:00+00:00,9,2025,2540,10.046426668694467,10.045513723946135,10.34919398387355,XAGUSD
2025-04-21 13:00:00+00:00,13,2025,10247,9.11383175866608,9.186913421181806,9.137426900585142,XAGUSD
2025-04-21 17:00:00+00:00,17,2025,5535,9.200760596209635,9.205362905379202,9.225659634664229,XAGUSD
2025-04-30 01:00:00+00:00,1,2025,4014,9.995153867084479,10.185072359043355,10.584410675135315,XAGUSD
2025-04-30 05:00:00+00:00,5,2025,2709,10.031462313618208,10.06512832061162,10.356065913313305,XAGUSD
2025-04-30 09:00:00+00:00,9,2025,4413,9.26755429242258,9.278208486277766,9.298865538404666,XAGUSD
2025-04-30 17:00:00+00:00,17,2025,4641,9.191176470588584,9.193445480334349,9.208951100470006,XAGUSD
2025-05-08 01:00:00+00:00,1,2025,6692,9.823182711197346,9.820496015273271,10.346611484738418,XAGUSD
2025-05-08 05:00:00+00:00,5,2025,4837,10.074643952924319,10.462997911123788,13.775580487656072,XAGUSD
2025-05-08 09:00:00+00:00,9,2025,3867,9.257544899093112,9.257103354630539,9.271277582048961,XAGUSD
2025-05-08 13:00:00+00:00,13,2025,7088,9.223106957297365,9.355682118412432,10.407738459654375,XAGUSD
2025-05-08 17:00:00+00:00,17,2025,6064,9.242428910315791,9.26276540153347,9.252320021093269,XAGUSD
2025-05-19 01:00:00+00:00,1,2025,5386,9.25554561441213,9.452748542295947,10.140429587864585,XAGUSD
2025-05-19 05:00:00+00:00,5,2025,2181,9.573071875243082,9.663305609641661,10.177489244244708,XAGUSD
2025-05-19 09:00:00+00:00,9,2025,3614,9.223674096848928,9.221577512736621,9.232757824762606,XAGUSD
2025-05-19 13:00:00+00:00,13,2025,8171,9.271564112866193,9.272891168213949,9.286200705751606,XAGUSD
2025-05-19 17:00:00+00:00,17,2025,2461,9.271277582048961,9.27160487035886,9.280455361010066,XAGUSD
2025-05-27 01:00:00+00:00,1,2025,3784,8.98391878537452,8.983771558277153,9.008197459688658,XAGUSD
2025-05-27 05:00:00+00:00,5,2025,5015,9.047044632085052,9.055513273122783,9.059885845438691,XAGUSD
2025-05-27 09:00:00+00:00,9,2025,3420,9.073312363900659,9.070580257803917,9.084852522561063,XAGUSD
2025-05-27 13:00:00+00:00,13,2025,9471,9.075782786265659,9.078859270785065,9.099457065728757,XAGUSD
2025-05-27 17:00:00+00:00,17,2025,2096,9.035600265044616,9.037303197535993,9.045135224771952,XAGUSD
2025-06-05 01:00:00+00:00,1,2025,3050,8.687342541916756,8.688632625689612,8.692628650904362,XAGUSD
2025-06-05 05:00:00+00:00,5,2025,2400,8.7042302559047,8.742275572955641,8.710295569363318,XAGUSD
2025-06-05 09:00:00+00:00,9,2025,11607,8.446183732650452,8.475741273044983,8.568001370880543,XAGUSD
2025-06-05 13:00:00+00:00,13,2025,23963,8.359340169416278,8.371515208085238,8.419162012741316,XAGUSD
2025-06-05 17:00:00+00:00,17,2025,4570,8.4156193895854,8.419203114413197,8.431229273228356,XAGUSD
2025-06-13 01:00:00+00:00,1,2025,9361,8.256501995321628,8.290929620668132,8.279059498841246,XAGUSD
2025-06-13 05:00:00+00:00,5,2025,4404,8.275633775620298,8.257133732317106,8.288895642804171,XAGUSD
2025-06-13 09:00:00+00:00,9,2025,6727,8.244023083264945,8.244190078671375,8.254457407000093,XAGUSD
2025-06-13 13:00:00+00:00,13,2025,14977,8.274948971148325,8.274113696021983,8.292103153763547,XAGUSD
2025-06-13 17:00:00+00:00,17,2025,4153,8.266056815364157,8.265814077719194,8.271754714900501,XAGUSD
2025-06-24 01:00:00+00:00,1,2025,6629,8.31877547625021,8.320768265442368,8.332870396089422,XAGUSD
2025-06-24 05:00:00+00:00,5,2025,4699,8.30840810900466,8.312799348561356,8.329400005551276,XAGUSD
2025-06-24 09:00:00+00:00,9,2025,5629,8.310019113044275,8.310289647567702,8.317622269047671,XAGUSD
2025-06-24 13:00:00+00:00,13,2025,15386,8.40077287110446,8.408730395021426,8.48008593153776,XAGUSD
2025-06-24 17:00:00+00:00,17,2025,3518,8.376846396560225,8.377788147225141,8.385275456299057,XAGUSD
2025-07-03 01:00:00+00:00,1,2025,2652,8.24006042866327,8.241001500771123,8.246515847054933,XAGUSD
2025-07-03 05:00:00+00:00,5,2025,4298,8.204118467470982,8.235118598461401,8.239268352970567,XAGUSD
2025-07-03 09:00:00+00:00,9,2025,5402,8.139345596612412,8.134973011016875,8.166820928840076,XAGUSD
2025-07-03 13:00:00+00:00,13,2025,13451,8.159047023307988,8.176198846828141,8.201427048306716,XAGUSD
2025-07-03 17:00:00+00:00,17,2025,1452,8.134931395412206,8.134345755766933,8.140229011776507,XAGUSD
2025-07-11 01:00:00+00:00,1,2025,7602,8.902077191823638,9.641071571122142,12.917810431132411,XAGUSD
2025-07-11 05:00:00+00:00,5,2025,8034,12.041261389026854,12.702686271726526,15.035857838240297,XAGUSD
2025-07-11 09:00:00+00:00,9,2025,1942,8.78559162972758,9.737074616250686,12.533801262715386,XAGUSD
2025-07-11 17:00:00+00:00,17,2025,6084,7.819627264434025,7.833506083742701,7.827175954915762,XAGUSD
