legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
BTCUSDT 1h + NZDUSD 4h,2,5%,0.005,0.0,0.268,0.2023,-0.0569,1.26,0.7528,0.0119,0.0,57.0,29.0,0.0,0.034,0.205
BTCUSDT 1h + NZDUSD 4h,2,8%,0.0075,0.0,0.268,0.2822,-0.0702,1.26,0.6654,0.1176,0.0,51.5,29.75,0.0,0.0331,0.1783
BTCUSDT 1h + NZDUSD 4h,2,5%,0.0075,0.0,0.268,0.2822,-0.0702,1.26,0.7518,0.1011,0.0,45.0,25.0,0.0,0.045,0.2518
BTCUSDT 1h + NZDUSD 4h,2,8%,0.01,0.0,0.268,0.3533,-0.0796,1.26,0.5901,0.2684,0.0,39.0,24.0,0.0,0.0414,0.2178
BTCUSDT 1h + NZDUSD 4h,2,5%,0.01,0.0,0.268,0.3533,-0.0796,1.26,0.6425,0.2537,0.0,33.0,21.0,0.0,0.0579,0.2904
BTCUSDT 1h + NZDUSD 4h,2,8%,0.015,0.0,0.268,0.4768,-0.0918,1.26,0.4026,0.5358,0.0303,24.0,17.0,0.0,0.0579,0.2822
BTCUSDT 1h + NZDUSD 4h,2,5%,0.015,0.0,0.268,0.4768,-0.0918,1.26,0.4724,0.4733,0.0285,23.5,16.0,0.0,0.079,0.3107
BTCUSDT 1h + NZDUSD 4h,2,8%,0.02,0.0,0.268,0.5827,-0.1123,1.26,0.2987,0.4559,0.2197,23.0,17.0,0.0,0.0478,0.216
BTCUSDT 1h + NZDUSD 4h,2,5%,0.02,0.0,0.268,0.5827,-0.1123,1.26,0.3722,0.4118,0.1903,22.0,16.0,0.0,0.0653,0.2877
BTCUSDT 1h + NZDUSD 4h,2,8%,0.03,0.0,0.268,0.7604,-0.1482,1.26,0.2215,0.2923,0.4605,21.0,15.0,0.0,0.046,0.1737
BTCUSDT 1h + NZDUSD 4h,2,5%,0.03,0.0,0.268,0.7604,-0.1482,1.26,0.2528,0.284,0.4375,20.0,15.0,0.0,0.0506,0.2151
BTCUSDT 1h + GBPUSD 4h,2,8%,0.005,0.007,0.277,0.1984,-0.0664,1.23,0.6186,0.0175,0.0,86.0,40.0,0.0,0.0129,0.0993
BTCUSDT 1h + GBPUSD 4h,2,5%,0.005,0.007,0.277,0.1984,-0.0664,1.23,0.6351,0.0175,0.0,49.0,29.0,0.0,0.0312,0.1783
BTCUSDT 1h + GBPUSD 4h,2,8%,0.0075,0.007,0.277,0.277,-0.0816,1.23,0.5542,0.3153,0.0,44.0,27.0,0.0,0.0294,0.1728
