symbol,tf,floor,topn,quarters,q_above_1,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pf_2x
NZDUSD,15m,100,1,7,1,0.615,283,0.448,3.14,10.32,0.1943,-0.3771,-118.32,-0.8874,-1.897,156.3,45.0,0.485
USDCAD,15m,100,1,7,1,0.592,237,0.376,2.63,9.05,0.2068,-0.3959,-97.56,-0.7317,-1.892,222.3,54.3,0.441
USDCAD,5m,30,10,7,0,0.589,1796,2.831,19.82,10.23,0.2227,-0.0395,-72.23,-0.5417,-2.751,4921.6,93.7,0.436
AUDUSD,5m,30,1,7,1,0.584,81,0.136,0.95,7.73,0.3333,-0.2928,-27.84,-0.2088,-1.332,3315.7,247.3,0.456
USDCAD,1h,100,1,7,1,0.573,186,0.294,2.06,7.72,0.328,-0.3147,-64.37,-0.4827,-2.356,3790.4,112.3,0.409
USDCAD,1h,30,10,7,0,0.57,939,1.48,10.36,9.32,0.2939,-0.0344,-32.99,-0.2474,-2.917,3705081.0,209.8,0.419
NZDUSD,1h,30,1,7,1,0.566,90,0.142,0.99,7.98,0.2667,-0.3455,-31.09,-0.2332,-1.283,1341.5,187.7,0.446
NZDUSD,30m,100,10,7,1,0.551,2215,3.484,24.39,9.16,0.2524,-0.0378,-88.98,-0.6674,-3.836,55371.1,80.9,0.431
USDCHF,5m,30,1,7,2,0.54,129,0.205,1.43,15.22,0.2636,-0.3633,-53.35,-0.4001,-1.798,1697.5,132.6,0.421
USDCAD,1h,30,1,7,1,0.532,94,0.148,1.04,4.87,0.266,-0.4438,-43.1,-0.3232,-1.651,1670.3,148.0,0.377
USDCAD,5m,30,1,7,1,0.526,137,0.218,1.52,12.86,0.2409,-0.4391,-60.94,-0.457,-1.944,1022.2,100.8,0.392
AUDUSD,30m,30,10,7,0,0.516,1130,1.787,12.51,8.14,0.2389,-0.0394,-45.14,-0.3385,-3.695,13155730.4,152.0,0.422
NZDUSD,5m,30,1,7,1,0.482,118,0.19,1.33,12.21,0.161,-0.5054,-67.43,-0.5057,-2.024,1238.8,102.1,0.369
USDCHF,4h,30,10,7,0,0.48,633,0.999,6.99,5.1,0.2859,-0.0259,-16.66,-0.1249,-2.835,32231935852.6,412.6,0.373
NZDUSD,30m,30,1,7,3,0.457,81,0.129,0.9,7.92,0.1975,-0.5182,-58.41,-0.4381,-1.787,2495.2,150.7,0.349
USDCAD,4h,30,10,7,1,0.444,980,1.543,10.8,10.11,0.3306,-0.0306,-29.97,-0.2248,-3.761,9560038957.4,226.6,0.32
AUDUSD,30m,30,1,7,0,0.384,112,0.178,1.25,6.84,0.2411,-0.4744,-53.36,-0.4002,-2.788,27515.9,125.9,0.304
USDCAD,4h,30,1,7,1,0.295,97,0.153,1.07,3.88,0.2474,-0.5541,-53.74,-0.4031,-3.257,188554.9,125.7,0.215
USDCHF,4h,30,1,7,0,0.282,64,0.108,0.76,3.19,0.2031,-0.588,-37.74,-0.2831,-2.878,345088.8,168.0,0.208
