tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,8,2.5,2,True,real,12955,2208,5.867300724637682,1.4668251811594204,1.0522728720200867,0.21385703268508421,0.06501540523200912,0.026865369037706498,0.2672327286761868,-0.2564779999883416,-3322.6724898489656,3322.6724898489633,0.5,-24.056286333943028,-1.5048335551852199,inf
15m,50,8,2.5,2,False,real,12955,2208,5.867300724637682,1.4668251811594204,0.992217787611713,0.5484858181780301,0.3102989275693781,0.183701215178148,0.4240833654959475,-0.08168566545846238,-1058.2377960143801,1059.1603000751484,0.5,-9.438197645596691,-0.4792743641369475,inf
15m,50,8,2.5,4,True,real,6447,2208,2.9198369565217392,0.7299592391304348,1.0737270396445426,0.30798558633676704,0.10965797608274616,0.049058959650066195,0.3293004498216225,-0.17806904363516443,-1148.0111243159051,1148.580592202675,1.0,-13.167329306263216,-0.5199325744184353,inf
15m,50,8,2.5,4,False,real,6447,2208,2.9198369565217392,0.7299592391304348,1.0079380205327568,0.6440063378374274,0.41612445354969807,0.27524673433300206,0.44315185357530634,-0.056073696812630455,-361.50712335102855,365.770268091859,1.0,-5.013619162287636,-0.16372605224231365,inf
15m,50,8,3.0,1,True,real,12477,2208,5.650815217391305,1.4127038043478262,1.0102445754739326,0.16731895370499208,0.04647142531598646,0.01881848445253735,0.23475194357618018,-0.34407118432580663,-4292.976166833089,4292.976166833088,0.25,-26.837757995194952,-1.9442826842541165,inf
15m,50,8,3.0,1,False,real,12477,2208,5.650815217391305,1.4127038043478262,0.9677542031947091,0.4784213541361143,0.24539820826787123,0.1352795432174727,0.40506532018914804,-0.1154810811528945,-1440.8574495446646,1440.9584825060185,0.25,-10.73516905027585,-0.6525622506995764,inf
15m,50,8,3.0,2,True,real,6241,2208,2.826539855072464,0.706634963768116,1.0697053176137783,0.2629140184479466,0.086216207606089,0.0370813342110639,0.30267585322864926,-0.24275912036076028,-1515.0596701715049,1515.059670171501,0.5,-14.678576462902937,-0.6861683288820222,inf
15m,50,8,3.0,2,False,real,6241,2208,2.826539855072464,0.706634963768116,1.0027567114068745,0.585891547498308,0.34724975677581144,0.212807649517051,0.4414356673609998,-0.07849406531372641,-489.88146162296647,491.2542612309824,0.5,-5.947341062378397,-0.22186660399590874,inf
15m,50,8,3.0,4,True,real,3123,2207,1.4150430448572724,0.3537607612143181,1.1423794424586726,0.37122083632394387,0.14225462991945176,0.06667497322690129,0.35959013768812037,-0.16045851491733992,-501.1119420868526,503.75344968652865,1.0,-7.824186627263837,-0.22705570552190874,inf
15m,50,8,3.0,4,False,real,3123,2207,1.4150430448572724,0.3537607612143181,1.065393175394551,0.7054267615333736,0.4714233262664089,0.32088447866403236,0.4569324367595261,-0.047281993342259854,-147.66166520787752,158.67052450487603,1.0,-2.792658611217296,-0.06690605582595266,inf
