sym,clip_usd,mode,median_bps_fine,n_fine,fillable,median_bps,p90_bps,p99_bps,round_trip_median
LINKUSDT,5000000,edge,157.367634276689,3488,0.9199721642310369,158.914157963395,214.810160277267,241.9776344447293,317.82831592679
DOTUSDT,1000,uniform,0.04501022385056178,3508,1.0,0.029900790510093693,0.04821925619028486,0.07013428904563859,0.059801581020187386
DOTUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOTUSDT,10000,uniform,0.4501022385056178,3508,1.0,0.2990079051009369,0.48219256190284865,0.7013428904563859,0.5980158102018738
DOTUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOTUSDT,50000,uniform,2.250511192528089,3508,1.0,1.4950395255046844,2.410962809514243,3.5067144522819294,2.990079051009369
DOTUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOTUSDT,250000,uniform,11.20425167180485,3508,1.0,7.475197627523422,12.004537466239553,16.31923661675775,14.950395255046844
DOTUSDT,250000,edge,28.905040153039998,3508,1.0,100.0,100.0,100.0,200.0
DOTUSDT,1000000,uniform,36.5785282860453,3508,1.0,29.500728058838213,42.61560616458054,56.64137074364924,59.001456117676426
DOTUSDT,1000000,edge,82.23267748770002,3508,1.0,100.0,100.0,109.21324747815493,200.0
DOTUSDT,5000000,uniform,133.11547816972194,2791,0.6852072770653146,136.69399003056844,188.1898907193023,210.47137162373124,273.3879800611369
DOTUSDT,5000000,edge,182.70824826362,2791,0.6852072770653146,188.67167116183995,239.25482999186002,261.62491238492,377.3433423236799
LTCUSDT,1000,uniform,0.027776749731868524,3508,1.0,0.018538313664493995,0.03294560565350164,0.0457533061617301,0.03707662732898799
LTCUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LTCUSDT,10000,uniform,0.2777674973186852,3508,1.0,0.18538313664493997,0.32945605653501636,0.45753306161730106,0.37076627328987993
LTCUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LTCUSDT,50000,uniform,1.388837486593426,3508,1.0,0.9269156832246997,1.6472802826750816,2.2876653080865053,1.8538313664493995
LTCUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LTCUSDT,250000,uniform,6.944187432967132,3508,1.0,4.6345784161234995,8.236401413375408,11.40569169609058,9.269156832246999
LTCUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LTCUSDT,1000000,uniform,25.829258783834554,3508,1.0,18.50084188818584,31.266394690122034,42.44999094584338,37.00168377637168
LTCUSDT,1000000,edge,71.19893408242001,3508,1.0,100.0,100.0,100.0,200.0
LTCUSDT,5000000,uniform,111.60949581908268,3507,0.990456307784074,93.06360512431394,158.24084507290925,204.96658196972598,186.12721024862788
LTCUSDT,5000000,edge,157.802445988896,3507,0.990456307784074,145.8998866884,209.876470723975,256.56758374620745,291.7997733768
BNBUSDT,1000,uniform,0.00656556630416134,3508,1.0,0.008605363359542487,0.013367576410912263,0.017313556572686545,0.017210726719084975
BNBUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BNBUSDT,10000,uniform,0.06565566304161338,3508,1.0,0.0860536335954249,0.13367576410912263,0.17313556572686542,0.1721072671908498
BNBUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BNBUSDT,50000,uniform,0.32827831520806694,3508,1.0,0.4302681679771244,0.668378820545613,0.8656778286343271,0.8605363359542488
BNBUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BNBUSDT,250000,uniform,1.641391576040335,3508,1.0,2.1513408398856217,3.341894102728065,4.328389143171636,4.3026816797712435
BNBUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BNBUSDT,1000000,uniform,6.56556630416134,3508,1.0,8.605363359542487,13.364476883921203,17.314931408967972,17.210726719084974
BNBUSDT,1000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
BNBUSDT,5000000,uniform,37.15774747121342,3508,0.9999005865394175,43.47757681529332,70.31074201243703,98.46198979182344,86.95515363058664
BNBUSDT,5000000,edge,75.63894236776,3508,0.9999005865394175,100.0,125.1019509233,151.74434208547962,200.0
