hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,96,1,0,0.0,0.0,0,EURUSD,0.574,778,0.126,-0.4766,0.711,-3.7236,53.3
0,1,96,1,0,0.0,1.0,0,EURUSD,0.594,778,0.5129,-0.2524,0.711,-1.9702,2157.4
0,1,96,1,0,0.0,1.5,0,EURUSD,0.597,778,0.3856,-0.3164,0.711,-2.4875,945.6
0,1,96,1,0,0.0,2.0,0,EURUSD,0.615,778,0.3149,-0.3374,0.711,-2.6771,472.2
0,1,96,1,0,0.0,3.0,0,EURUSD,0.581,778,0.2211,-0.4166,0.711,-3.3435,283.6
0,1,96,1,1,0.0,0.0,0,EURUSD,0.556,778,0.09,-0.5688,0.711,-4.4255,29.1
0,1,96,1,1,0.0,1.0,0,EURUSD,0.431,778,0.5026,-0.3997,0.711,-3.1226,9911.8
0,1,96,1,1,0.0,1.5,0,EURUSD,0.526,778,0.4023,-0.3978,0.711,-3.1083,1557.6
0,1,96,1,1,0.0,2.0,0,EURUSD,0.546,778,0.3252,-0.4301,0.711,-3.375,722.1
0,1,96,1,1,0.0,3.0,0,EURUSD,0.545,778,0.2288,-0.4918,0.711,-3.885,319.2
0,1,96,1,2,1.0,0.0,0,EURUSD,0.557,709,0.0748,-0.5863,0.647,-4.1569,24.2
0,1,96,1,2,1.0,0.0,1,EURUSD,0.632,709,0.0663,-0.4914,0.647,-3.7711,14.5
0,1,96,1,2,1.0,1.0,0,EURUSD,0.392,709,0.4922,-0.445,0.647,-3.158,16288.4
0,1,96,1,2,1.0,1.0,1,EURUSD,0.404,709,0.5063,-0.4168,0.647,-2.9643,16128.2
0,1,96,1,2,1.0,1.5,0,EURUSD,0.474,709,0.3865,-0.4633,0.647,-3.2936,2722.5
0,1,96,1,2,1.0,1.5,1,EURUSD,0.469,709,0.3865,-0.4633,0.647,-3.3046,3067.9
0,1,96,1,2,1.0,2.0,0,EURUSD,0.515,709,0.3188,-0.4732,0.647,-3.3786,986.1
0,1,96,1,2,1.0,2.0,1,EURUSD,0.492,709,0.3103,-0.4986,0.647,-3.5978,1279.8
0,1,96,1,2,1.0,3.0,0,EURUSD,0.55,709,0.2341,-0.4929,0.647,-3.5987,327.1
0,1,96,1,2,1.0,3.0,1,EURUSD,0.544,709,0.2327,-0.4986,0.647,-3.6641,349.8
0,1,96,1,2,2.0,0.0,0,EURUSD,0.665,777,0.1351,-0.3566,0.71,-2.8046,40.0
0,1,96,1,2,2.0,0.0,1,EURUSD,0.818,777,0.1544,-0.1895,0.71,-1.8477,23.2
0,1,96,1,2,2.0,1.0,0,EURUSD,0.622,777,0.5019,-0.2321,0.71,-1.8159,1782.4
0,1,96,1,2,2.0,1.0,1,EURUSD,0.614,777,0.4981,-0.2398,0.71,-1.882,1894.3
0,1,96,1,2,2.0,1.5,0,EURUSD,0.63,777,0.381,-0.2825,0.71,-2.2274,755.8
