symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
DOGEUSDT,cash_4h,12h,0.00612,0.00806,False,0.1,0.5,False,False,7,0.86,643643
DOGEUSDT,cash_4h,24h,0.0138,0.01037,True,5.59,0.5,False,False,7,0.86,643499
DOGEUSDT,lead_1h,1h,-0.00955,0.00149,True,-2.85,0.5,False,False,7,0.86,643811
DOGEUSDT,lead_1h,4h,-0.0071,0.00161,True,-6.12,0.75,False,False,7,0.86,643775
DOGEUSDT,lead_1h,8h,-0.00485,0.0019,True,-4.8,0.5,False,False,7,0.86,643727
DOGEUSDT,lead_1h,12h,-0.00535,0.00267,True,-7.47,0.5,False,False,7,0.71,643679
DOGEUSDT,lead_1h,24h,-0.00316,0.00178,True,-4.16,0.5,False,False,7,0.71,643535
DOGEUSDT,lead_4h,1h,-0.0151,0.00537,True,-4.69,0.5,False,False,7,0.86,643775
DOGEUSDT,lead_4h,4h,-0.01281,0.00306,True,-6.76,0.5,False,False,7,0.71,643739
DOGEUSDT,lead_4h,8h,-0.0119,0.00539,True,-0.43,0.75,False,False,7,0.71,643691
DOGEUSDT,lead_4h,12h,-0.01031,0.00574,True,-3.04,0.75,False,False,7,0.71,643643
DOGEUSDT,lead_4h,24h,-0.00766,0.00331,True,-0.7,0.75,False,False,7,0.71,643499
ADAUSDT,ret_1h,1h,-0.04384,0.00517,True,-3.79,0.75,False,False,7,1.0,690013
ADAUSDT,ret_1h,4h,-0.02145,0.01071,True,-2.29,0.5,False,False,7,1.0,689977
ADAUSDT,ret_1h,8h,-0.01445,0.00486,True,-3.08,0.75,False,False,7,0.71,689929
ADAUSDT,ret_1h,12h,-0.00691,0.0046,True,2.33,0.75,False,False,7,0.86,689881
ADAUSDT,ret_1h,24h,-0.01575,0.00597,True,-10.0,0.5,False,False,7,0.86,689737
ADAUSDT,ret_4h,1h,-0.03472,0.00654,True,1.04,0.5,False,False,7,1.0,689977
ADAUSDT,ret_4h,4h,-0.026,0.00967,True,5.41,0.5,False,False,7,1.0,689941
ADAUSDT,ret_4h,8h,-0.01657,0.00729,True,4.31,0.5,False,False,7,0.86,689893
ADAUSDT,ret_4h,12h,-0.00772,0.01454,False,15.14,0.5,True,False,7,0.71,689845
