symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
ADAUSDT,lev_4h,12h,11.5,-1.3,0.27,-3.59,6.78
ADAUSDT,lev_4h,24h,13.99,-4.25,5.54,-6.06,18.09
ADAUSDT,gap,1h,-0.52,-0.01,1.37,0.98,-0.73
ADAUSDT,gap,4h,-0.09,1.38,3.37,1.1,-1.36
ADAUSDT,gap,8h,0.08,3.23,5.77,1.23,-1.35
ADAUSDT,gap,12h,-0.42,5.41,8.94,1.76,-2.21
ADAUSDT,gap,24h,1.94,9.8,13.86,5.86,-4.4
ADAUSDT,gap_z,1h,-0.84,0.42,0.81,0.76,-0.03
ADAUSDT,gap_z,4h,-0.51,2.0,1.87,1.22,-0.13
ADAUSDT,gap_z,8h,0.03,2.71,3.61,1.61,0.93
ADAUSDT,gap_z,12h,-0.3,4.26,6.11,2.44,0.8
ADAUSDT,gap_z,24h,3.01,8.55,8.63,5.68,1.08
ADAUSDT,gap_1h,1h,0.01,0.75,1.16,0.27,-1.1
ADAUSDT,gap_1h,4h,1.36,2.69,2.06,-0.7,-0.95
ADAUSDT,gap_1h,8h,1.92,4.99,3.2,0.39,-1.49
ADAUSDT,gap_1h,12h,0.74,8.21,5.47,0.9,-1.74
ADAUSDT,gap_1h,24h,4.88,13.6,5.13,5.0,-1.46
ADAUSDT,cash_1h,1h,0.13,0.1,-0.07,0.82,0.12
ADAUSDT,cash_1h,4h,1.17,0.78,1.61,2.59,-1.68
ADAUSDT,cash_1h,8h,1.93,3.81,3.04,3.04,-2.8
ADAUSDT,cash_1h,12h,1.05,6.05,4.67,5.77,-3.95
ADAUSDT,cash_1h,24h,2.74,9.93,11.92,9.01,-6.46
ADAUSDT,gap_4h,1h,0.06,1.97,-0.21,0.33,-1.01
ADAUSDT,gap_4h,4h,-1.32,6.37,0.96,1.58,-3.05
ADAUSDT,gap_4h,8h,-1.36,5.82,3.35,5.02,-3.75
ADAUSDT,gap_4h,12h,0.45,12.2,1.63,2.7,-3.35
ADAUSDT,gap_4h,24h,7.37,13.7,2.87,7.64,-4.4
ADAUSDT,cash_4h,1h,0.52,0.41,-0.77,1.26,-0.28
ADAUSDT,cash_4h,4h,-0.65,0.64,1.34,5.45,-2.24
ADAUSDT,cash_4h,8h,-2.25,1.94,4.25,8.13,-2.97
ADAUSDT,cash_4h,12h,-3.04,2.84,9.39,8.98,-4.54
ADAUSDT,cash_4h,24h,-6.64,6.6,15.29,15.52,-3.58
ADAUSDT,lead_1h,1h,2.41,0.39,-1.05,-0.3,-0.33
ADAUSDT,lead_1h,4h,5.89,-0.27,-2.21,-1.27,2.33
ADAUSDT,lead_1h,8h,7.3,-0.67,-2.8,-1.49,6.68
ADAUSDT,lead_1h,12h,11.81,-1.45,-3.75,-2.12,9.11
ADAUSDT,lead_1h,24h,22.83,-2.51,-5.99,-4.86,17.68
ADAUSDT,lead_4h,1h,3.26,-0.25,-0.5,-1.09,-0.28
ADAUSDT,lead_4h,4h,5.03,-1.3,-0.59,-1.25,2.65
ADAUSDT,lead_4h,8h,8.74,-2.48,-1.69,-2.55,7.07
ADAUSDT,lead_4h,12h,14.38,-2.72,-2.33,-4.44,8.75
ADAUSDT,lead_4h,24h,29.38,-1.74,-4.36,-8.31,12.22
AVAXUSDT,ret_1h,1h,3.56,-0.71,-0.95,-1.25,-0.12
AVAXUSDT,ret_1h,4h,9.49,-3.37,-4.4,-2.15,2.54
AVAXUSDT,ret_1h,8h,12.88,-5.28,-6.54,-2.57,5.68
AVAXUSDT,ret_1h,12h,18.16,-5.19,-8.73,-4.41,6.58
AVAXUSDT,ret_1h,24h,29.76,-10.0,-16.91,-7.74,19.32
AVAXUSDT,ret_4h,1h,3.54,-2.06,-1.39,0.26,0.16
