symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
DOGEUSDT,down_12,24h,0.0007,0.00711,False,3.32,0.5,False,0.5,41108
DOGEUSDT,dsys_48,1h,0.00737,0.00406,True,0.06,0.5,False,0.83,41125
DOGEUSDT,dsys_48,4h,0.00182,0.0039,False,-0.83,0.75,False,0.67,41122
DOGEUSDT,dsys_48,8h,-0.01012,0.00488,True,-5.68,0.5,False,0.67,41118
DOGEUSDT,dsys_48,24h,-0.00456,0.01248,False,-4.05,0.75,False,0.67,41102
DOGEUSDT,down_48,1h,0.01731,0.00444,True,2.89,0.5,False,1.0,41125
DOGEUSDT,down_48,4h,0.01513,0.00834,True,7.88,0.75,False,0.67,41122
DOGEUSDT,down_48,8h,0.00291,0.00679,False,9.51,0.75,False,0.67,41118
DOGEUSDT,down_48,24h,0.00492,0.0128,False,18.08,0.75,False,0.67,41102
DOGEUSDT,dsys_144,1h,0.00321,0.00661,False,-1.45,0.5,False,0.83,41109
DOGEUSDT,dsys_144,4h,-0.01201,0.01036,True,-9.75,0.5,False,0.67,41106
DOGEUSDT,dsys_144,8h,-0.02946,0.01748,True,-24.83,0.75,False,1.0,41102
DOGEUSDT,dsys_144,24h,0.00303,0.03388,False,-20.53,0.5,False,0.5,41086
DOGEUSDT,down_144,1h,0.01493,0.01057,True,1.4,0.5,False,1.0,41109
DOGEUSDT,down_144,4h,0.00533,0.01773,False,0.54,0.75,False,0.67,41106
DOGEUSDT,down_144,8h,-0.01251,0.01215,True,-2.0,0.5,False,0.67,41102
DOGEUSDT,down_144,24h,0.00906,0.02715,False,12.55,0.75,False,0.5,41086
ADAUSDT,own,1h,0.00706,0.00561,True,-3.65,0.75,False,0.67,41141
ADAUSDT,own,4h,0.00482,0.01136,False,-5.04,0.75,False,0.67,41138
ADAUSDT,own,8h,-0.00306,0.01391,False,-9.21,0.75,False,0.5,41134
ADAUSDT,own,24h,0.00191,0.01936,False,-4.33,0.75,False,0.33,41118
ADAUSDT,sys,1h,0.00503,0.00349,True,-5.05,0.75,False,0.67,41141
ADAUSDT,sys,4h,-0.00301,0.0106,False,-13.48,0.75,False,0.83,41138
ADAUSDT,sys,8h,-0.00766,0.01384,False,-16.9,0.5,False,0.5,41134
ADAUSDT,sys,24h,-0.00098,0.02676,False,-4.53,0.75,False,0.5,41118
ADAUSDT,breadth,1h,0.00652,0.00383,True,-4.56,0.75,False,0.67,41141
