symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,1,1,3494,1.435,0.5117,-0.1306,1.0501,0.762,0.5439,-998.78,-995.1,0.3734
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,1,0,3556,1.461,0.484,-0.1759,0.9544,0.6935,0.4958,-1174.16,-1170.9,0.3411
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,0,1,6319,2.596,0.4838,-0.1638,0.9353,0.7042,0.5241,-1873.14,-1872.1,0.3805
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,0,0,6374,2.619,0.5053,-0.0995,1.0672,0.8074,0.6048,-1468.79,-1462.7,0.4428
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,1,1,3300,1.356,0.5209,-0.1153,1.0824,0.7861,0.5615,-892.79,-887.2,0.3856
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,1,0,3352,1.377,0.4743,-0.1942,0.9178,0.6677,0.4781,-1165.8,-1163.0,0.3296
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,0,1,4107,1.687,0.4787,-0.1295,0.9123,0.7521,0.618,-895.07,-892.2,0.5046
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,0,0,4184,1.719,0.5062,-0.0478,1.0899,0.8999,0.7413,-567.06,-563.3,0.6072
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,1,1,1649,0.677,0.5209,-0.0521,1.0826,0.8946,0.7364,-237.7,-233.5,0.6018
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,1,0,1687,0.693,0.4748,-0.122,0.9316,0.7717,0.6378,-359.64,-355.3,0.5243
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,0,1,3933,1.616,0.4861,-0.1148,0.941,0.7765,0.6385,-795.54,-794.5,0.5216
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,0,0,4024,1.653,0.5002,-0.0586,1.0632,0.8785,0.7242,-594.17,-583.0,0.5938
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,1,1,1555,0.639,0.5293,-0.0402,1.1093,0.9173,0.7555,-203.45,-200.5,0.6176
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,1,0,1588,0.652,0.4673,-0.137,0.9011,0.7466,0.6174,-362.2,-357.7,0.5078
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,0,1,5150,2.116,0.3831,-0.1606,1.0066,0.7628,0.585,-1676.08,-1673.7,0.4507
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,0,0,5577,2.291,0.374,-0.1317,1.0793,0.8078,0.6133,-1730.43,-1723.1,0.4678
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,1,1,4061,1.668,0.3802,-0.1614,1.121,0.7853,0.5622,-1616.34,-1606.8,0.4037
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,1,0,4033,1.657,0.3447,-0.2513,0.9837,0.6801,0.4785,-1990.95,-1985.9,0.3353
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,1,0,1,5033,2.068,0.3859,-0.1505,1.0254,0.7764,0.5951,-1587.82,-1587.8,0.458
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,1,0,0,5418,2.226,0.3758,-0.1361,1.073,0.8017,0.6076,-1707.75,-1701.2,0.4625
